seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime,penalty_position,penalty_direction,save,goal,miss
13481,740785,31,46685462,32',"Goal! West Ham United 1, Brighton and Hove Albion 1. Danny Welbeck (Brighton and Hove Albion) converts the penalty with a right footed shot to the bottom left corner.",2026-01-01 00:09:17,9,bottom left,0,1,0
13481,740785,57,46685650,45'+4',"Goal! West Ham United 2, Brighton and Hove Albion 1. Lucas Paquetá (West Ham United) converts the penalty with a left footed shot to the bottom right corner.",2026-01-01 00:09:17,7,bottom right,0,1,0
13481,740787,21,46693753,31',"Goal! Wolverhampton Wanderers 2, West Ham United 0. Hwang Hee-Chan (Wolverhampton Wanderers) converts the penalty with a right footed shot to the centre of the goal.",2026-01-04 00:14:04,5,middle center,0,1,0
13481,740798,65,46710485,60',Penalty saved. Enzo Le Fée (Sunderland) right footed shot saved in the centre of the goal by Caoimhín Kelleher (Brentford).,2026-01-08 05:53:16,5,middle center,1,0,0
13481,740801,90,46708736,89',"Goal! West Ham United 1, Nottingham Forest 2. Morgan Gibbs-White (Nottingham Forest) converts the penalty with a right footed shot to the centre of the goal.",2026-01-07 06:04:16,5,middle center,0,1,0
13481,740803,38,46710025,41',"Goal! Manchester City 1, Brighton and Hove Albion 0. Erling Haaland (Manchester City) converts the penalty with a left footed shot to the bottom right corner.",2026-01-09 05:54:00,7,bottom right,0,1,0
13481,740804,44,46710840,45'+5',"Goal! Newcastle United 1, Leeds United 2. Dominic Calvert-Lewin (Leeds United) converts the penalty with a right footed shot to the centre of the goal.",2026-01-08 05:53:16,5,middle center,0,1,0
13481,740804,92,46711608,90'+1',"Goal! Newcastle United 3, Leeds United 3. Bruno Guimarães (Newcastle United) converts the penalty with a right footed shot to the bottom right corner.",2026-01-08 05:53:16,7,bottom right,0,1,0
13481,740807,27,46800019,32',"Goal! Brighton and Hove Albion 0, Bournemouth 1. Marcus Tavernier (Bournemouth) converts the penalty with a left footed shot to the bottom left corner.",2026-01-20 05:51:20,9,bottom left,0,1,0
13481,740808,68,46776931,76',"Goal! Chelsea 2, Brentford 0. Cole Palmer (Chelsea) converts the penalty with a left footed shot to the bottom right corner.",2026-01-18 05:49:03,7,bottom right,0,1,0
13481,740820,57,46839957,64',"Goal! Crystal Palace 0, Chelsea 3. Enzo Fernández (Chelsea) converts the penalty with a right footed shot to the bottom right corner.",2026-01-26 05:53:35,7,bottom right,0,1,0
13481,740825,23,46824079,28',"Goal! West Ham United 2, Sunderland 0. Jarrod Bowen (West Ham United) converts the penalty with a left footed shot to the bottom right corner.",2026-01-25 05:55:03,7,bottom right,0,1,0
13481,740832,39,46889332,45'+2',"Goal! Nottingham Forest 1, Crystal Palace 1. Ismaïla Sarr (Crystal Palace) converts the penalty with a right footed shot to the centre of the goal.",2026-02-02 05:58:40,5,middle center,0,1,0
13481,740833,81,46890296,85',"Goal! Manchester United 2, Fulham 1. Raúl Jiménez (Fulham) converts the penalty with a right footed shot to the top left corner.",2026-02-02 05:58:40,3,top left,0,1,0
13481,740840,13,46926597,13',"Goal! Wolverhampton Wanderers 0, Chelsea 1. Cole Palmer (Chelsea) converts the penalty with a left footed shot to the bottom right corner.",2026-02-09 06:04:58,7,bottom right,0,1,0
